BookId,Title,Author,Category,PublishedYear,Summary
12,Advances in Cardiology Research Volume 1,Dr. Rahul Iyer,Cardiology,2013,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Cardiology. It is intended to support evidence-based medical practice and future research.“Advances in Cardiology” is a monograph which discusses the contemporary topics in cardiology in which a considerable advances has been made in recent years. There has been a rapid advance in the catheter based interventions for coronary artery, peripheral vascular and cerebrovascular diseases. Progress has been also made in catheter based treatment of structural heart disease such as valvular heart disease. These topics have been included in this monograph. There have been considerable advances in the understanding of pathophysiology and management of diastolic heart failure. Clinical lipidology, cardiovascular pharmacogenetics, advances in treatment of arrhythmias, present role of stem cell therapy in cardiovascular disease, and advances in cardiac computed tomography have been also discussed in this monograph."
13,Advances in Oncology Research Volume 3,Dr. Kavya Patel,Oncology,2024,"Advances in Oncology reviews the year's most important findings and updates within the field in order to provide practicing oncologists with the current clinical information they need to improve patient outcomes. A distinguished editorial board, led by Dr. Leonidas C. Platanias, identifies key areas of major progress and controversy and invites preeminent specialists to contribute original articles devoted to these topics. These insightful overviews in oncology inform and enhance clinical practice by bringing concepts to a clinical level and exploring their everyday impact on patient care.
- Contains 25 articles on such topics as adaptive radiation therapy: MRI-guided or CT-guided; neoadjuvant treatment strategies in gastrointestinal stomal tumors; treatment advances in small cell lung cancer; sexual health following diagnosis and treatment of gynecologic cancers; neurocognitive outcomes for childhood cancer survivors; targeting IDH in gliomas; the role of allogeneic stem cell transplant for elderly leukemia patients; bladder-sparing approaches in muscle-invasive bladder cancer; and more
- Provides in-depth, clinical reviews in oncology, providing actionable insights for clinical practice
- Presents the latest information in the field under the leadership of an experienced editorial team. Authors synthesize and distill the latest research and practice guidelines to create these timely topic-based reviews"
14,Advances in Immunology Research Volume 5,Dr. Anita Gupta,Immunology,2024,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Immunology. It is intended to support evidence-based medical practice and future research."
15,Advances in Cardiology Research Volume 1,Dr. Rahul Iyer,Cardiology,2010,"Cardiology and cardiovascular sciences are two rapidly growing areas in medicine, with heart diseases being the number one cause of death worldwide. The last four decades have witnessed many developments in various cardiological sciences, including coronary artery disease, valve disease, heart failure, congenital heart diseases, and cardiovascular imaging, with a number of newly developed concepts, such as cardio-oncology, cardio-renal diseases, and preventive cardiology.

This Special Issue (SI) of the Journal of Clinical Medicine, entitled “JCM-Advances in Cardiology”, focuses on recent advances in the cardiological sciences. It published 8 research articles of significant clinical and scientific value."
16,Advances in Neurology Research Volume 4,Sonal Patel,Neurology,2024,"Recent Research Trends in Neurology (Volume - 1), edited by Dr. Sonal Patel, is a dynamic compilation that captures innovative developments across neurological science and allied healthcare. The volume addresses pivotal themes such as the integration of artificial intelligence in diagnostics and care, non-invasive brain stimulation for promoting neuroplasticity, and advanced rehabilitation methods for cerebral palsy and spinal cord injury. The book also explores the use of AI and machine learning in drug discovery targeting CNS disorders like Parkinson’s and Alzheimer’s. Each chapter, contributed by field experts, offers evidence-based insights and practical frameworks that highlight the intersection of technology and neurological treatment. Designed for academicians, clinicians, researchers, and students, this volume brings together interdisciplinary approaches that reflect the future of neurology, neurorehabilitation, and neuropharmacology. A comprehensive reference, the book emphasizes personalized care, emerging trends, and the ethical considerations surrounding modern neurological interventions."
17,Advances in Neurology Research Volume 4,Cândida Lopes Alves,Neurology,2021,"The relentless march of scientific progress, propelled by innovative technologies and the promise of artificial intelligence, has ushered in an era of unprecedented knowledge and discovery. Yet, this surge in information and technological advancement has left scholars, researchers, and medical professionals grappling with the immense task of translating this wealth of data into practical solutions for real-world problems. As they strive to enhance our understanding of brain health and tackle conditions and disorders that have eluded resolution for over a century, there is a critical need for a unified and coherent approach.

Advances in Neurosciences, Neuropsychiatry, and Neurology is a groundbreaking book that is not just a source of knowledge but a roadmap to resolving the perplexing challenges in these fields. With a laser focus on consolidating theoretical insights and presenting clinically relevant findings, this book stands as a beacon of guidance for those seeking to leverage the transformative potential of technology and scientific advancement. It provides an invaluable toolkit of therapeutic strategies, aimed to seamlessly integrate into clinical practice.

For researchers, professionals, and students in the fields of neuroscience, medicine, psychology, and related disciplines, this book is a gateway to a deeper understanding of the remarkable advances that are shaping the future of brain health. Explore a variety of topics, from compelling case reports to thought-provoking theoretical discussions, and let your intellectual exploration be guided by empirical studies and systematic reviews. Advances in Neurosciences, Neuropsychiatry, and Neurology is an invitation to be a part of the solution to the most pressing problems in these fields."
18,Advances in Oncology Research Volume 1,Dr. Suresh Gupta,Oncology,2020,"Advances in Oncology highlights the latest findings and updates within the cancer field each year for the practicing oncologist. Advances in Oncology publishes the most current thinking and recent advances from the voice of a truly distinguished editorial board, led by Editor-in-Chief Leonidas C. Platanias, who identify current advances and breakthroughs in the field and invite specialists to contribute original articles on these topics. Topics covered in each volume can include the areas of radiation oncology, surgical oncology, medical oncology, gynecologic oncology, pediatric oncology, neuro-oncology, hemato-oncology, uro-oncology, and gastrointestinal oncology. This series will appeal to all practicing oncologists and will inform and enhance clinical practice."
19,Advances in Neurology Research Volume 4,Hans Luders ,Neurology,2024,"This text provides insights into recent clinical research in the supplementary sensorimotor area (SSMA). The book opens with an historical overview and follows with a discussion of recent experimental animal studies in the neuroanatomy and neurochemistry of the SSMA. Among the topics explored in this section are microstimulation mapping of the SSMA in relation to cortical architectronics and other cortical motor areas, corticospinal and corticostriatal efferents of the SSMA in relation to other cortical motor areas, evolutionary and comparative neurobiology of the SSMA among primates, laterality and hemispheric specialization of the SSMA, physiological contrasts and similarities between the SSMA and other cortical motor areas, and the functions of the SSMA in monkeys and humans."
20,Advances in Oncology Research Volume 3,Dr. Rahul Gupta,Oncology,2011,"Advancements in Cancer Research: Exploring Diagnostics and Therapeutic Breakthroughs is a comprehensive resource that highlights the latest innovations in cancer research. This book bridges the gap between cutting-edge science and clinical applications, offering insights into the molecular mechanisms, diagnostic advancements, and novel therapeutic strategies revolutionizing cancer care. Organized into thematic sections, the book explores critical areas such as molecular biomarkers, immunotherapy, nanotechnology in diagnostics and treatment, and targeted therapies. Topics include the role of TP53 mutations in colorectal cancer, nanocarriers for melanoma therapy, RNA-based therapeutics for colon cancer, and biomaterials for bone tumor management. Readers will also discover how emerging technologies like nanotheranostics and transethosomes are paving the way for personalized cancer care. Key Features: - Insights into molecular and nanotechnology-driven cancer therapies. - Exploration of diagnostics and biomarker applications. - Multidisciplinary approaches to advancing patient care. - Analysis of current trends and prospects in oncology."
21,Advances in Pediatrics Research Volume 1,Dr. Meera Reddy,Pediatrics,2024,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Pediatrics. It is intended to support evidence-based medical practice and future research."
22,Advances in Cardiology Research Volume 2,Dr. Suresh Iyer,Cardiology,2018,"This series is devoted to current problems in clinical and preventive cardiology. Edited or authored by renowned specialists, volumes in this series are designed to provide up-to-date and comprehensive coverage of a particular subject. Some volumes record the proceedings of important symposia. Special emphasis is given to new findings relating to diagnostic and therapeutic measures, cardiac pharmacology, and drug-disease interactions, and to the fundamental cellular and molecular pathophysiology underlying cardiovascular disease processes. Areas of interest range throughout the field of cardiology to include coronary artery disease, congenital and acquired valvular and other structural heart diseases, primary myocardial diseases and primary and secondary electrophysiological dysfunction. Vol. 1-3 published as part of 'Bibliotheca Cardiologica'."
23,Advances in Endocrinology Research Volume 4,Dr.Ashish Pandey,Endocrinology,2017,"The field of endocrinology has witnessed remarkable advancements in recent years, significantly impacting the diagnosis, management, and treatment of endocrine disorders. This editorial provides a comprehensive overview of these advancements, emphasizing the integration of cutting-edge research into clinical practice. Key areas of focus include novel diagnostic techniques, personalized medicine, advancements in diabetes management, thyroid disorders, and the role of technology in enhancing patient outcomes. By bridging the gap between research and clinical practice, these developments promise to improve the quality of life for patients with endocrine disorders."
24,Advances in Oncology Research Volume 4,Dr. Arjun Iyer,Oncology,2024,"Advances in Oncology reviews the year’s most important findings and updates within the field in order to provide practicing oncologists with the current clinical information they need to improve patient outcomes. A distinguished editorial board, led by Dr. Leonidas C. Platanias, identifies key areas of major progress and controversy and invites preeminent specialists to contribute original articles devoted to these topics. These insightful overviews in oncology inform and enhance clinical practice by bringing concepts to a clinical level and exploring their everyday impact on patient care.Contains 25 articles on such topics as adaptive radiation therapy: MRI-guided or CT-guided; neoadjuvant treatment strategies in gastrointestinal stomal tumors; treatment advances in small cell lung cancer; sexual health following diagnosis and treatment of gynecologic cancers; neurocognitive outcomes for childhood cancer survivors; targeting IDH in gliomas; the role of allogeneic stem cell transplant for elderly leukemia patients; bladder-sparing approaches in muscle-invasive bladder cancer; and more
Provides in-depth, clinical reviews in oncology, providing actionable insights for clinical practice
Presents the latest information in the field under the leadership of an experienced editorial team. Authors synthesize and distill the latest research and practice guidelines to create these timely topic-based reviews"
25,Advances in Cardiology Research Volume 3,Dr. Kavya Gupta,Cardiology,2021,"This book deals with several subjects of actual interest in the field of cardiology, developed by experienced researchers in their respective fields. The authors comment on their own papers and experience all throughout the chapters in an easy-to-read format. Since modern cardiology demands continuous updating on specific topics of the varied spectra of cardiology, this book is devoted to diagnostic techniques, pathophysiology, clinical aspects and treatment. It presents comprehensive reviews of the subjects, making it useful to internists and cardiologists who want an updated review of the selected issues portrayed in the book. In this way, the book represents a further stage beyond classic structured books aimed toward cardiologists, cardiovascular surgeons, paediatricians and enthusiastic general practitioners. The chapters have been chosen because of the importance of the subjects they cover, as well as the expertise of the authors. All of them are well known experts and have been extensively published in international journals. In summary, this publication updates the main findings in cardiovascular diseases at present. This vast branch of medicine is rapidly expanding and many scientific manuscripts have appeared and continue to appear. Nevertheless, this review presents a compilation and review of the newest, most important issues in one volume."
26,Advances in Psychiatry Research Volume 3,Dr. Rahul Sharma,Psychiatry,2018,"The medical speciality concerned with the study of mental disorders, along with their diagnosis, prevention and treatment is known as psychiatry. Problems related to mood, behavior and perception also fall under psychiatry. Psychiatric disorders include among others, schizophrenia and other psychotic disorders, bipolar disorder, anxiety disorders, dissociative disorders, personality disorders, etc. Psychological tests and physical examinations are often conducted for diagnostic purposes. Psychiatric medication and psychotherapy are two of the most common and effective ways of treating psychiatric disorders. A doctor who has specialized in the field of psychiatry is called a psychiatrist. The topics included in this book on psychiatry are of utmost significance and bound to provide incredible insights to readers. It studies, analyses and upholds the pillars of psychiatry and its utmost significance in modern times. As this field is emerging at a rapid pace, the contents of this book will help the readers understand the modern concepts and applications of the subject."
27,Advances in Psychiatry Research Volume 3,Dr. Deepak Prabhakar,Psychiatry,2019,"Advances in Psychiatry and Behavioral Health reviews the year’s most important findings and updates within the field in order to provide psychiatrists and primary care physicians with the current clinical information they need to improve patient outcomes. A distinguished editorial board, led by Dr. Deepak Prabhakar, identifies key areas of major progress and controversy and invites preeminent specialists to contribute original articles devoted to these topics. These insightful overviews in psychiatry and behavioral health inform and enhance clinical practice by bringing concepts to a clinical level and exploring their everyday impact on patient care.

Key Features
Contains 24 articles on such topics as loneliness and emotional blunting in elite sport; parent-led treatment for childhood anxiety; internet CBT for anxiety; advances in management of personality disorders in a residential setting; acculturative stress and mental health outcomes among Latinx youth; and more, as well as current topics in geriatrics, women’s mental health, neurosciences, and more
Provides in-depth, clinical reviews in psychiatry and behavioral health, providing actionable insights for clinical practice
Presents the latest information in the field under the leadership of an experienced editorial team. Authors synthesize and distill the latest research and practice guidelines to create these timely topic-based reviews"
28,Advances in Radiology Research Volume 4,Dr. Kavya Sharma,Radiology,2015,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Radiology. It is intended to support evidence-based medical practice and future research."
29,Advances in Oncology Research Volume 4,Dr. Kavya Patel,Oncology,2019,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Oncology. It is intended to support evidence-based medical practice and future research.Proceedings of the 2nd Annual IFOM-IEO Meeting on Cancer. This is a new meeting, it has about 200 attendees from Australia, Austria, Belgium, Brazil, Canada, England, France, Germany, Greece, Ireland, Italy, Japan, Netherlands, Spain, Sweden, Switzerland, and the USA.

The 2nd IFOM-IEO international meeting on cancer will provide a forum in which the world’s leading cancer researchers and young scientists will discuss the latest advances in molecular oncology. The impact of recent breakthroughs in basic research and of emerging technologies on molecular medicine in cancer will be highlighted."
30,Advances in Cardiology Research Volume 1,Dr. Rahul Patel,Cardiology,2018,"Introduction: Over the course of 2023, numerous key clinical trials with valuable contributions to clinical cardiology were published or presented at major international conferences. This review seeks to summarise these trials and reflect on their clinical context.

Methods: The authors collated and reviewed clinical trials presented at major cardiology conferences during 2023 including the American College of Cardiology (ACC), European Association for Percutaneous Cardiovascular Interventions (EuroPCR), European Society of Cardiology (ESC), Transcatheter Cardiovascular Therapeutics (TCT), American Heart Association (AHA), European Heart Rhythm Association (EHRA), Society for Cardiovascular Angiography and Interventions (SCAI), TVT-The Heart Summit (TVT) and Cardiovascular Research Technologies (CRT). Trials with a broad relevance to the cardiology community and those with potential to change current practice were included.

Results: A total of 80 key cardiology clinical trials were identified for inclusion. Key trials in acute coronary syndrome (ACS) and antiplatelet management such as HOST-IDEA, T-PASS and STOP-DAPT3 were included in addition to several pivotal interventional trials such as ORBITA 2, MULTISTARS-AMI, ILUMIEN-IV, OCTIVUS and OCTOBER. Additionally, several trials evaluated new stent design and technology such as BIOSTEMI, PARTHENOPE and TRANSFORM. Structural intervention trials included long-term data from PARTNER 3, new data on the durability of transcatheter aortic valve intervention (TAVI), in addition to major new trials regarding transcatheter tricuspid valve intervention from TRISCEND II. Heart failure (HF) and prevention covered several key studies including DAPA-MI, STEP-HF, ADVOR, DICTATE HF and CAMEO-DAPA. In cardiac devices and electrophysiology, several trial exploring novel ablation strategies in atrial fibrillation (AF) such as PULSED AF and ADVENT were presented with further data evaluating the efficacy of anticoagulation in subclinical AF in NOAH-AFNET 6, FRAIL AF and AZALEA-TIMI 71."
31,Advances in Neurology Research IAN Book ,Shakir,Neurology,2019,"This is a book of plenty, yet it is concise enough for all to enjoy. The editors state, “ The book is an important addition to already existing books on Neurology.” I would like to disagree, in my opinion it is unique. It crosses the gulf between standard textbook, clinical instructions, management guides with detailed correlative anatomy, functional neurology, and therapeutics.

There is an enormous amount of information, which is enough for any neurologist albeit in training and in practice or those working in research institutions. The chapters are not only written by experienced clinicians but also academics rooted in practice. The guidelines are precise and detailed.

The 207 authors managed to write 111 chapters, which are rich and by and large uniform. They vary from classical sections such as headache, stroke, epilepsy, movement disorders, and dementia. It is in contrast to a futuristic chapter on Robotics in neurology. This is, in essence, the idea of the book, which is probably the thinking of the IAN to mix history, current practice, research, and future developments.

There are too many gem chapters that attract attention. Some of the unorthodox ones include the one on “Pitfalls in the diagnosis of demyelinating disease.” This chapter follows exquisite chapters on all aspects of demyelination. Readers are reminded of the myriad of disorders, which mimic demyelinating disorders."
32,Advances in Oncology Research Volume 1,Dr. Suresh Reddy,Oncology,2023,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Oncology. It is intended to support evidence-based medical practice and future research.Advancements in Cancer Research: Exploring Diagnostics and Therapeutic Breakthroughs is a comprehensive resource that highlights the latest innovations in cancer research. This book bridges the gap between cutting-edge science and clinical applications, offering insights into the molecular mechanisms, diagnostic advancements, and novel therapeutic strategies revolutionizing cancer care.

Organized into thematic sections, the book explores critical areas such as molecular biomarkers, immunotherapy, nanotechnology in diagnostics and treatment, and targeted therapies. Topics include the role of TP53 mutations in colorectal cancer, nanocarriers for melanoma therapy, RNA-based therapeutics for colon cancer, and biomaterials for bone tumor management. Readers will also discover how emerging technologies like nanotheranostics and transethosomes are paving the way for personalized cancer care.

Key Features:

- Insights into molecular and nanotechnology-driven cancer therapies.

- Exploration of diagnostics and biomarker applications.

- Multidisciplinary approaches to advancing patient care.

- Analysis of current trends and prospects in oncology."
33,Advances in Cardiology Research Volume 4,Dr. Suresh Gupta,Cardiology,2018,"This book deals with several subjects of interest in the field of cardiology, developed by experienced researchers in their respective fields. The authors comment on their own papers and experience all throughout the chapters in an easy-to-read format. Since modern cardiology demands continuous updating on specific topics of the varied spectra of cardiology, this book is devoted to diagnostic techniques, pathophysiology, clinical aspects and treatment. It presents comprehensive reviews of the subjects, making it useful to internists and cardiologists who want an updated review of the selected issues portrayed in the book.

In this way, the book represents a further stage beyond classic structured books aimed toward cardiologists, cardiovascular surgeons, pediatricians and enthusiastic general practitioners. The chapters have been chosen because of the importance of the subjects they cover, as well as the expertise of the authors. All of them are well-known experts and have been extensively published in international journals. In summary, this publication updates the main findings in cardiovascular diseases at present. This vast branch of medicine is rapidly expanding and many scientific manuscripts have appeared and continue to appear. Nevertheless, this book presents a compilation and review of the newest, most important issues in one volume. (Imprint: Nova Biomedical )
"
34,Advances in Neurology Research Volume 3,Amit Agrawal ,Neurology,2017,"Neurosurgery has witnessed technological advances since its inception as a separate specialty. As with other medical specialties, it is constantly evolving and changing. This book is designed to help practitioners in the field of neurosurgery and allied neurosciences access the exciting and updated changes in neurosurgical topics in recent years. This book is not meant to be a standalone book for neurosurgery readers; rather, it provides recent complementary information to other texts. Topics discussed include general neurosurgery, neurosurgical oncology, functional neurosurgery, and CSF disorders. This book will be a helpful resource for trainees, researchers, and anyone practicing neurosurgery."
35,Advances in Radiology Research Volume 2,Dr. Anita Reddy,Radiology,2012,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Radiology. It is intended to support evidence-based medical practice and future research."
36,Advances in Pediatrics Research Volume 1,Dr. Rahul Iyer,Pediatrics,2016,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Pediatrics. It is intended to support evidence-based medical practice and future research."
37,Therapeutic Advances in Neurological Disorders,Dr. Rahul Gupta,Neurology,2011,"Journal Highlights

Launched in 2008.
Gold open access journal – all articles are made freely available online immediately upon publication.
Rigorous peer review.
Listed in PubMed Central and indexed in Web of Science, Science Citation Index Expanded (SCIE) and Scopus.
A leading gold open access in clinical neurology.
Over 400k full-text article views annually.
Therapeutic Advances in Neurological Disorders (TAND) is a peer-reviewed open access journal which focuses on pioneering efforts and innovative studies across all areas of neurology. Please see the Aims and Scope tab for further information.

This journal is a member of the Committee on Publication Ethics (COPE).

This journal flipped to open access on September 1, 2016.

Diversity, Equity and Inclusion Statement

Therapeutic Advances in Neurological Disorders promotes inclusive, open science that reflects the disciplinary, human, and geographic diversity of the neurology community.

Diversity as a core value embodies inclusiveness, mutual respect, and multiple perspectives.

We welcome editors, editorial board members, peer reviewers and authors from all backgrounds, cultures, ethnicities, nationalities, races, religions, sexes, sexual orientations, gender identities, mental or physical (dis)abilities, ages, career stages, socioeconomic status or any other individual status.

We are committed to continually improving our editorial and review processes whilst playing our part in eradicating bias and inequality in all forms."
38,Advances in Endocrinology Research Volume 5,Dr. Ashish Pandey,Endocrinology,2010,"Endocrinology, the study of hormonal systems and their disorders, has witnessed remarkable advancements in recent years. This article provides a comprehensive overview of emerging therapies and diagnostic innovations in endocrinology. Topics covered include hormone replacement therapies (HRTs), targeted drug delivery systems, personalized medicine approaches, and cutting-edge diagnostic tools. The role of genetics, epigenetics, and biomarkers in endocrine disorders is also discussed. References are cited throughout the article to support the presented information."
39,Advances in Immunology Research Volume 3,Dr. Arjun Sharma,Immunology,2024,"This publication reviews clinical studies, diagnostics, treatment strategies, and emerging research trends in Immunology. It is intended to support evidence-based medical practice and future research."
